iter	MultiClass
0	1.086513301
1	1.075790997
2	1.065819734
3	1.056683731
4	1.048283994
5	1.040815801
6	1.034305988
7	1.028107951
8	1.022622581
9	1.017485377
10	1.012931596
11	1.008646809
12	1.004786759
13	1.001176801
14	0.9979400587
15	0.9949007857
16	0.9923026191
17	0.9898073728
18	0.9875210351
19	0.9855110371
20	0.9834693796
21	0.9814391035
22	0.9796144055
23	0.9781204697
24	0.9767524502
25	0.9754577005
26	0.9741594252
27	0.9729029838
28	0.9716531855
29	0.9705885425
30	0.9697455119
31	0.968736157
32	0.9679188141
33	0.9671542414
34	0.9663504816
35	0.9656978565
36	0.964899215
37	0.9643355869
38	0.9637195362
39	0.9632932909
40	0.9628307047
41	0.9623907176
42	0.9619182501
43	0.9614166655
44	0.9610787433
45	0.9605901239
46	0.9601744482
47	0.9595788911
48	0.9592482055
49	0.9586601391
50	0.9581808364
51	0.9578514895
52	0.9574783182
53	0.9568833352
54	0.9565499394
55	0.9560461153
56	0.9557742372
57	0.9553444082
58	0.9549890455
59	0.9547073182
60	0.9543963068
61	0.9540862834
62	0.9537841582
63	0.9533979379
64	0.953078708
65	0.952656331
66	0.9522810535
67	0.952104645
68	0.9518827725
69	0.9514982587
70	0.9510995213
71	0.9507442223
72	0.9503417648
73	0.9501146375
74	0.9499891016
75	0.949742432
76	0.9492743908
77	0.9491208431
78	0.9487818836
79	0.9484419389
80	0.9481823977
81	0.9480044191
82	0.9479115375
83	0.9475650363
84	0.9474213778
85	0.9468566414
86	0.9466404604
87	0.9464294074
88	0.9461969
89	0.9459149766
90	0.9456615365
91	0.9453457859
92	0.9450751576
93	0.9448820211
94	0.9445085683
95	0.944295669
96	0.9440015512
97	0.9438205537
98	0.9434792452
99	0.9432482276
100	0.9430496671
101	0.9427999234
102	0.9425865456
103	0.9424517101
104	0.9421589868
105	0.9416853219
106	0.9414718536
107	0.9411567156
108	0.9409907162
109	0.9405790292
110	0.940210593
111	0.9399274434
112	0.9395580293
113	0.9394212555
114	0.9390902516
115	0.9387847342
116	0.9385126562
117	0.9383034646
118	0.938138173
119	0.9378886428
120	0.9376230698
121	0.9374289525
122	0.9372678023
123	0.9371447879
124	0.9369001289
125	0.9366010352
126	0.9360777449
127	0.935873289
128	0.9355754448
129	0.935387157
130	0.9351346959
131	0.9350724694
132	0.9349010652
133	0.9346737292
134	0.9344352481
135	0.9340581615
136	0.9336127034
137	0.9333635826
138	0.9332611196
139	0.9330027926
140	0.9326365362
141	0.9323645827
142	0.9320080078
143	0.9316884741
144	0.9314922504
145	0.9312674471
146	0.9309330736
147	0.9306802663
148	0.9304018908
149	0.9301890043
150	0.9297762179
151	0.9294831571
152	0.9291825209
153	0.9290072224
154	0.9286866678
155	0.9284472767
156	0.9281296443
157	0.9279896038
158	0.9278227413
159	0.9274511981
160	0.9271328484
161	0.9269142133
162	0.926384337
163	0.9262000721
164	0.9259178667
165	0.9257112075
166	0.9255541231
167	0.9253500003
168	0.925111282
169	0.9248697038
170	0.9246417147
171	0.9244644251
172	0.9242278465
173	0.9240068787
174	0.923756452
175	0.9235593697
176	0.9234325149
177	0.923360141
178	0.9230281377
179	0.9226989755
180	0.9224430491
181	0.9222096255
182	0.9219336949
183	0.9217625926
184	0.9214981565
185	0.9212344524
186	0.9209657804
187	0.9207797897
188	0.9204360454
189	0.9201442832
190	0.9199122462
191	0.9196850765
192	0.9193626407
