iter	Passed	Remaining
0	50	25075
1	52	12981
2	55	9191
3	58	7281
4	62	6157
5	65	5385
6	68	4833
7	71	4426
8	75	4128
9	79	3878
10	82	3672
11	86	3497
12	89	3352
13	93	3239
14	96	3131
15	100	3035
16	103	2943
17	107	2865
18	110	2795
19	113	2729
20	117	2671
21	120	2617
22	123	2568
23	127	2525
24	130	2485
25	134	2443
26	137	2405
27	140	2370
28	143	2338
29	147	2308
30	150	2280
31	154	2256
32	161	2290
33	165	2267
34	171	2272
35	174	2246
36	177	2226
37	181	2203
38	184	2181
39	187	2158
40	190	2137
41	194	2117
42	197	2098
43	201	2090
44	205	2073
45	208	2058
46	211	2043
47	215	2029
48	218	2013
49	222	2000
50	225	1986
51	229	1973
52	232	1958
53	235	1945
54	238	1933
55	242	1921
56	245	1909
57	248	1896
58	252	1886
59	255	1873
60	258	1863
61	262	1852
62	265	1842
63	268	1831
64	272	1822
65	275	1813
66	279	1804
67	282	1795
68	285	1784
69	289	1777
70	292	1769
71	296	1760
72	299	1751
73	302	1742
74	305	1733
75	309	1725
76	312	1718
77	315	1708
78	319	1701
79	322	1692
80	325	1684
81	328	1677
82	332	1669
83	335	1661
84	339	1656
85	342	1649
86	346	1642
87	349	1635
88	352	1628
89	355	1620
90	359	1613
91	362	1607
92	365	1599
93	368	1593
94	372	1587
95	375	1581
96	379	1575
97	382	1570
98	388	1572
99	392	1568
100	396	1565
101	399	1558
102	403	1554
103	406	1548
104	410	1542
105	413	1536
106	416	1531
107	420	1525
108	423	1519
109	426	1513
110	430	1507
111	433	1501
112	436	1496
113	440	1490
114	443	1483
115	446	1478
116	449	1472
117	453	1467
118	456	1461
119	459	1456
120	463	1451
121	466	1445
122	469	1439
123	473	1434
124	476	1429
125	480	1425
126	483	1420
127	486	1414
128	490	1410
129	493	1405
130	496	1399
131	500	1394
132	503	1388
133	506	1383
134	509	1378
135	513	1374
136	516	1369
137	520	1364
138	523	1360
139	527	1355
140	530	1351
141	534	1346
142	537	1342
143	540	1337
144	544	1332
145	547	1327
146	550	1322
147	554	1318
148	557	1313
149	561	1309
150	565	1306
151	568	1301
152	571	1296
153	575	1292
154	578	1287
155	583	1286
156	586	1282
157	590	1277
158	593	1272
159	596	1267
160	599	1263
161	603	1258
162	606	1253
163	609	1249
164	613	1244
165	616	1240
166	619	1235
167	623	1231
168	626	1227
169	629	1222
170	633	1218
171	636	1213
172	639	1209
173	642	1204
174	646	1200
175	649	1196
176	652	1191
177	656	1187
178	659	1183
179	663	1178
180	666	1174
181	670	1170
182	674	1167
183	677	1163
184	680	1159
185	684	1155
186	687	1150
187	691	1146
188	694	1142
189	697	1138
190	700	1134
191	704	1130
192	708	1126
