ClubName,League
Arsenal,England
Aston Villa,England
Bournemouth,England
Brentford,England
Brighton,England
Burnley,England
Chelsea,England
Crystal Palace,England
Everton,England
Fulham,England
Ipswich,England
Leeds,England
Leicester,England
Liverpool,England
Luton,England
Man City,England
Man United,England
Newcastle,England
Norwich,England
Nott'm Forest,England
Sheffield United,England
Southampton,England
Sunderland,England
Tottenham,England
Watford,England
West Ham,England
Wolves,England
Ajaccio,France
Angers,France
Auxerre,France
Bordeaux,France
Brest,France
Clermont,France
Le Havre,France
Lens,France
Lille,France
Lorient,France
Lyon,France
Marseille,France
Metz,France
Monaco,France
Montpellier,France
Nantes,France
Nice,France
Paris FC,France
Paris SG,France
Reims,France
Rennes,France
St Etienne,France
Strasbourg,France
Toulouse,France
Troyes,France
Augsburg,Germany
Bayern Munich,Germany
Bielefeld,Germany
Bochum,Germany
Darmstadt,Germany
Dortmund,Germany
Ein Frankfurt,Germany
FC Koln,Germany
Freiburg,Germany
Greuther Furth,Germany
Hamburg,Germany
Heidenheim,Germany
Hertha,Germany
Hoffenheim,Germany
Holstein Kiel,Germany
Leverkusen,Germany
M'gladbach,Germany
Mainz,Germany
RB Leipzig,Germany
Schalke 04,Germany
St Pauli,Germany
Stuttgart,Germany
Union Berlin,Germany
Werder Bremen,Germany
Wolfsburg,Germany
Atalanta,Italy
Bologna,Italy
Cagliari,Italy
Como,Italy
Cremonese,Italy
Empoli,Italy
Fiorentina,Italy
Frosinone,Italy
Genoa,Italy
Inter,Italy
Juventus,Italy
Lazio,Italy
Lecce,Italy
Milan,Italy
Monza,Italy
Napoli,Italy
Parma,Italy
Pisa,Italy
Roma,Italy
Salernitana,Italy
Sampdoria,Italy
Sassuolo,Italy
Spezia,Italy
Torino,Italy
Udinese,Italy
Venezia,Italy
Verona,Italy
Alaves,Spain
Almeria,Spain
Ath Bilbao,Spain
Ath Madrid,Spain
Barcelona,Spain
Betis,Spain
Cadiz,Spain
Celta,Spain
Elche,Spain
Espanol,Spain
Getafe,Spain
Girona,Spain
Granada,Spain
Las Palmas,Spain
Leganes,Spain
Levante,Spain
Mallorca,Spain
Osasuna,Spain
Oviedo,Spain
Real Madrid,Spain
Sevilla,Spain
Sociedad,Spain
Valencia,Spain
Valladolid,Spain
Vallecano,Spain
Villarreal,Spain
