ClubName,League,ClubNameZh,AliasZh
Arsenal,England,阿森纳,枪手
Aston Villa,England,阿斯顿维拉,维拉
Bournemouth,England,伯恩茅斯,樱桃军团
Brentford,England,布伦特福德,小蜜蜂
Brighton,England,布莱顿,海鸥
Burnley,England,伯恩利,红酒军团
Chelsea,England,切尔西,蓝军
Crystal Palace,England,水晶宫,老鹰
Everton,England,埃弗顿,太妃糖
Fulham,England,富勒姆,农场主
Ipswich,England,伊普斯维奇,拖拉机男孩
Leeds,England,利兹联,白玫瑰
Leicester,England,莱斯特城,狐狸城
Liverpool,England,利物浦,红军
Luton,England,卢顿,帽匠
Man City,England,曼彻斯特城,曼城
Man United,England,曼彻斯特联,曼联，红魔
Newcastle,England,纽卡斯尔联,喜鹊
Norwich,England,诺维奇城,金丝雀
Nott'm Forest,England,诺丁汉森林,森林
Sheffield United,England,谢菲尔德联,谢菲联
Southampton,England,南安普顿,圣徒
Sunderland,England,桑德兰,黑猫
Tottenham,England,托特纳姆热刺,热刺
Watford,England,沃特福德,黄蜂
West Ham,England,西汉姆联,铁锤帮
Wolves,England,狼队,狼队
Ajaccio,France,阿雅克肖,阿雅克肖
Angers,France,昂热,昂热
Auxerre,France,欧塞尔,欧塞尔
Bordeaux,France,波尔多,波尔多
Brest,France,布雷斯特,布雷斯特
Clermont,France,克莱蒙,克莱蒙
Le Havre,France,勒阿弗尔,勒阿弗尔
Lens,France,朗斯,朗斯
Lille,France,里尔,里尔
Lorient,France,洛里昂,洛里昂
Lyon,France,里昂,里昂
Marseille,France,马赛,马赛
Metz,France,梅斯,梅斯
Monaco,France,摩纳哥,摩纳哥
Montpellier,France,蒙彼利埃,蒙彼利埃
Nantes,France,南特,南特
Nice,France,尼斯,尼斯
Paris FC,France,巴黎足球俱乐部,巴黎FC
Paris SG,France,巴黎圣日耳曼,巴黎，大巴黎
Reims,France,兰斯,兰斯
Rennes,France,雷恩,雷恩
St Etienne,France,圣埃蒂安,圣埃蒂安
Strasbourg,France,斯特拉斯堡,斯堡
Toulouse,France,图卢兹,图卢兹
Troyes,France,特鲁瓦,特鲁瓦
Augsburg,Germany,奥格斯堡,奥格斯堡
Bayern Munich,Germany,拜仁慕尼黑,拜仁
Bielefeld,Germany,比勒费尔德,比勒费尔德
Bochum,Germany,波鸿,波鸿
Darmstadt,Germany,达姆施塔特,达姆施塔特
Dortmund,Germany,多特蒙德,多特
Ein Frankfurt,Germany,法兰克福,法兰克福
FC Koln,Germany,科隆,科隆
Freiburg,Germany,弗赖堡,弗赖堡
Greuther Furth,Germany,菲尔特,菲尔特
Hamburg,Germany,汉堡,汉堡
Heidenheim,Germany,海登海姆,海登海姆
Hertha,Germany,柏林赫塔,赫塔
Hoffenheim,Germany,霍芬海姆,霍村
Holstein Kiel,Germany,荷尔斯泰因基尔,基尔
Leverkusen,Germany,勒沃库森,药厂
M'gladbach,Germany,门兴格拉德巴赫,门兴
Mainz,Germany,美因茨,美因茨
RB Leipzig,Germany,RB莱比锡,莱比锡
Schalke 04,Germany,沙尔克04,沙尔克
St Pauli,Germany,圣保利,圣保利
Stuttgart,Germany,斯图加特,斯图加特
Union Berlin,Germany,柏林联合,柏联
Werder Bremen,Germany,云达不来梅,不来梅
Wolfsburg,Germany,沃尔夫斯堡,狼堡
Atalanta,Italy,亚特兰大,真蓝黑
Bologna,Italy,博洛尼亚,博洛尼亚
Cagliari,Italy,卡利亚里,卡利亚里
Como,Italy,科莫,科莫
Cremonese,Italy,克雷莫内塞,克雷莫内塞
Empoli,Italy,恩波利,恩波利
Fiorentina,Italy,佛罗伦萨,紫百合
Frosinone,Italy,弗罗西诺内,弗罗西诺内
Genoa,Italy,热那亚,热那亚
Inter,Italy,国际米兰,国米
Juventus,Italy,尤文图斯,尤文
Lazio,Italy,拉齐奥,蓝鹰
Lecce,Italy,莱切,莱切
Milan,Italy,AC米兰,米兰
Monza,Italy,蒙扎,蒙扎
Napoli,Italy,那不勒斯,那不勒斯
Parma,Italy,帕尔马,帕尔马
Pisa,Italy,比萨,比萨
Roma,Italy,罗马,红狼
Salernitana,Italy,萨勒尼塔纳,萨勒尼塔纳
Sampdoria,Italy,桑普多利亚,桑普
Sassuolo,Italy,萨索洛,萨索洛
Spezia,Italy,斯佩齐亚,斯佩齐亚
Torino,Italy,都灵,都灵
Udinese,Italy,乌迪内斯,乌迪内斯
Venezia,Italy,威尼斯,威尼斯
Verona,Italy,维罗纳,维罗纳
Alaves,Spain,阿拉维斯,阿拉维斯
Almeria,Spain,阿尔梅里亚,阿尔梅里亚
Ath Bilbao,Spain,毕尔巴鄂竞技,毕包
Ath Madrid,Spain,马德里竞技,马竞
Barcelona,Spain,巴塞罗那,巴萨
Betis,Spain,皇家贝蒂斯,贝蒂斯
Cadiz,Spain,加的斯,加的斯
Celta,Spain,塞尔塔,塞尔塔
Elche,Spain,埃尔切,埃尔切
Espanol,Spain,西班牙人,西班牙人
Getafe,Spain,赫塔费,赫塔费
Girona,Spain,赫罗纳,赫罗纳
Granada,Spain,格拉纳达,格拉纳达
Las Palmas,Spain,拉斯帕尔马斯,拉斯帕尔马斯
Leganes,Spain,莱加内斯,莱加内斯
Levante,Spain,莱万特,莱万特
Mallorca,Spain,马略卡,马略卡
Osasuna,Spain,奥萨苏纳,奥萨苏纳
Oviedo,Spain,皇家奥维耶多,奥维耶多
Real Madrid,Spain,皇家马德里,皇马
Sevilla,Spain,塞维利亚,塞维利亚
Sociedad,Spain,皇家社会,皇家社会
Valencia,Spain,瓦伦西亚,瓦伦西亚
Valladolid,Spain,巴拉多利德,巴拉多利德
Vallecano,Spain,巴列卡诺,巴列卡诺
Villarreal,Spain,比利亚雷亚尔,黄潜
