Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D1,2024-08-23,M'gladbach,Leverkusen,2,3,A,0.0,2.0,A,5.25,4.5,1.55,5.33,4.58,1.6,5.5,4.78,1.62,5.16,4.53,1.58,1.44,2.75,1.5,2.71,1.51,2.75,1.47,2.68,1.0,1.98,1.92,1.98,1.94,2.01,1.94,1.93,1.92,4.75,4.5,1.62,4.94,4.38,1.67,5.6,4.62,1.67,5.09,4.46,1.6,1.44,2.75,1.48,2.79,1.48,2.9,1.45,2.8,1.0,1.86,2.04,1.87,2.06,1.96,2.08,1.91,1.96
D1,2024-08-24,Augsburg,Werder Bremen,2,2,D,2.0,1.0,H,2.2,3.6,3.1,2.32,3.55,3.11,2.35,3.8,3.16,2.28,3.56,3.07,1.73,2.1,1.74,2.18,1.77,2.23,1.72,2.15,-0.25,1.99,1.91,2.02,1.89,2.02,1.95,1.96,1.9,2.45,3.6,2.7,2.57,3.61,2.77,2.57,3.69,3.16,2.46,3.54,2.82,1.67,2.2,1.71,2.26,1.75,2.3,1.69,2.21,0.0,1.88,2.05,1.88,2.04,1.88,2.06,1.86,2.03
D1,2024-08-24,Freiburg,Stuttgart,3,1,H,1.0,1.0,D,3.5,3.6,2.05,3.5,3.7,2.09,3.65,3.87,2.11,3.5,3.7,2.06,1.67,2.2,1.71,2.23,1.78,2.27,1.7,2.18,0.5,1.83,2.07,1.81,2.09,1.85,2.09,1.81,2.05,3.7,3.8,1.91,3.73,3.99,1.96,3.95,3.99,2.11,3.62,3.81,1.98,1.53,2.5,1.56,2.58,1.61,2.62,1.55,2.43,0.5,1.95,1.98,1.95,1.97,1.98,2.09,1.87,2.0
D1,2024-08-24,Hoffenheim,Holstein Kiel,3,2,H,2.0,0.0,H,1.65,4.5,4.5,1.64,4.38,5.07,1.69,4.52,5.2,1.65,4.33,4.85,1.53,2.5,1.55,2.56,1.55,2.56,1.53,2.49,-1.0,2.08,1.82,2.08,1.84,2.09,1.84,2.05,1.8,1.62,4.75,4.5,1.61,4.68,5.05,1.7,4.82,5.1,1.62,4.54,4.87,1.4,3.0,1.45,2.89,1.56,3.0,1.45,2.77,-1.0,2.03,1.9,1.99,1.93,2.16,1.95,2.02,1.86
D1,2024-08-24,Mainz,Union Berlin,1,1,D,0.0,0.0,D,2.0,3.4,3.9,2.08,3.24,4.1,2.11,3.4,4.2,2.05,3.3,4.01,2.2,1.67,2.27,1.68,2.3,1.72,2.23,1.68,-0.5,2.05,1.85,2.09,1.83,2.09,1.88,2.04,1.83,2.05,3.3,3.75,2.1,3.39,3.9,2.15,3.5,3.99,2.08,3.34,3.8,2.07,1.83,2.09,1.83,2.27,1.87,2.07,1.79,-0.5,2.1,1.83,2.11,1.83,2.13,1.85,2.07,1.81
D1,2024-08-24,RB Leipzig,Bochum,1,0,H,0.0,0.0,D,1.25,7.0,9.0,1.25,6.71,10.65,1.28,7.01,12.0,1.25,6.58,10.53,1.36,3.2,1.35,3.26,1.38,3.33,1.36,3.14,-1.75,1.87,2.03,1.86,2.03,1.93,2.04,1.86,2.0,1.22,7.5,11.0,1.22,7.23,12.72,1.25,7.58,13.0,1.22,7.05,11.94,1.33,3.4,1.34,3.38,1.37,3.56,1.33,3.35,-2.0,1.99,1.94,1.99,1.92,2.02,1.95,1.97,1.89
D1,2024-08-24,Dortmund,Ein Frankfurt,2,0,H,0.0,0.0,D,1.7,4.1,4.5,1.71,4.4,4.48,1.75,4.52,4.52,1.71,4.31,4.39,1.5,2.63,1.48,2.73,1.5,2.79,1.47,2.68,-0.75,1.89,2.01,1.89,2.01,1.92,2.03,1.88,1.98,1.7,4.0,4.5,1.75,4.19,4.58,1.81,4.35,4.82,1.76,4.1,4.36,1.5,2.63,1.52,2.7,1.52,2.81,1.49,2.65,-0.75,1.93,2.0,1.93,1.99,1.99,2.0,1.92,1.93
D1,2024-08-25,Wolfsburg,Bayern Munich,2,3,A,0.0,1.0,A,6.25,4.75,1.45,6.33,5.0,1.47,6.6,5.1,1.51,6.32,4.93,1.46,1.44,2.75,1.46,2.81,1.46,2.86,1.44,2.76,1.25,1.92,1.98,1.92,1.99,1.96,2.0,1.9,1.95,6.0,4.75,1.45,6.5,4.57,1.52,7.0,4.92,1.54,6.36,4.67,1.49,1.44,2.75,1.53,2.59,1.53,2.95,1.46,2.76,1.25,1.95,1.98,1.94,1.98,1.98,2.02,1.91,1.95
D1,2024-08-25,St Pauli,Heidenheim,0,2,A,0.0,0.0,D,2.1,3.5,3.4,2.13,3.5,3.59,2.17,3.62,3.68,2.12,3.5,3.46,1.87,2.03,1.87,2.02,1.91,2.05,1.85,1.98,-0.25,1.84,2.06,1.85,2.07,1.87,2.08,1.82,2.03,1.95,3.5,3.75,2.02,3.49,4.06,2.05,3.62,4.06,2.0,3.51,3.8,2.03,1.87,2.03,1.88,2.05,2.0,1.94,1.88,-0.5,2.02,1.91,2.03,1.9,2.05,1.93,2.01,1.86
D1,2024-08-30,Union Berlin,St Pauli,1,0,H,1.0,0.0,H,1.91,3.5,4.1,1.96,3.5,4.29,2.01,3.6,4.4,1.94,3.5,4.15,2.03,1.87,2.03,1.88,2.05,1.91,1.99,1.86,-0.5,1.95,1.98,1.97,1.95,1.97,2.0,1.94,1.93,1.95,3.4,4.2,1.95,3.43,4.43,2.04,3.51,4.43,1.97,3.43,4.13,2.1,1.73,2.17,1.76,2.21,1.89,2.06,1.79,-0.5,1.99,1.94,1.96,1.96,2.01,1.96,1.98,1.89
