Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
SP1,2025-08-15,Girona,Vallecano,1,3,A,0,3,A,2.25,3.25,3.3,2.3,3.3,3.45,2.3,3.33,3.35,2.24,3.26,3.26,2.2,1.67,2.24,1.71,2.2,1.73,2.14,1.68,-0.25,1.98,1.88,1.97,1.95,1.98,1.91,1.84,1.85,2.45,3.2,3.1,2.29,3.32,3.45,2.45,3.25,3.15,2.39,3.15,3.09,2.2,1.67,2.24,1.72,2.22,1.68,2.17,1.66,-0.25,2.1,1.78,1.97,1.95,2.1,1.8,1.95,1.75
SP1,2025-08-15,Villarreal,Oviedo,2,0,H,2,0,H,1.4,4.75,8.0,1.41,4.76,8.8,1.4,5.1,8.5,1.38,4.74,8.11,1.85,2.0,1.89,2.02,1.91,2.0,1.84,1.92,-1.25,1.88,1.98,1.96,1.96,1.9,1.98,1.81,1.88,1.4,4.75,8.0,1.4,4.87,8.96,1.42,4.9,9.0,1.39,4.7,8.02,1.83,2.03,1.85,2.06,1.89,2.03,1.82,1.94,-1.25,1.9,1.95,1.93,2.0,1.94,1.96,1.82,1.87
SP1,2025-08-16,Mallorca,Barcelona,0,3,A,0,2,A,7.0,5.0,1.4,6.68,5.03,1.45,7.0,5.0,1.48,6.75,4.74,1.43,1.62,2.3,1.64,2.35,1.62,2.35,1.6,2.25,1.25,1.88,1.98,1.9,2.01,1.88,1.98,1.83,1.85,9.5,5.5,1.3,8.06,5.31,1.39,9.5,7.8,5.4,8.7,5.79,1.56,1.44,2.75,1.5,2.71,1.47,2.9,1.43,2.72,1.5,2.0,1.85,1.88,2.05,2.0,1.93,1.9,1.86
SP1,2025-08-16,Alaves,Levante,2,1,H,1,0,H,2.15,3.0,3.8,2.18,3.18,3.84,2.25,3.1,3.8,2.19,3.04,3.64,2.63,1.5,2.77,1.48,2.7,1.5,2.58,1.47,-0.25,1.83,2.03,1.85,2.06,1.86,2.03,1.78,1.91,2.1,3.1,3.9,2.19,3.14,3.93,2.12,3.15,4.0,2.08,3.08,3.92,2.63,1.5,2.54,1.57,2.63,1.54,2.51,1.5,-0.25,1.8,2.05,1.86,2.07,1.8,2.07,1.7,2.0
SP1,2025-08-16,Valencia,Sociedad,1,1,D,0,0,D,2.6,2.9,3.1,2.65,2.89,3.23,2.6,3.0,3.2,2.55,2.89,3.07,2.75,1.44,2.85,1.44,3.05,1.45,2.76,1.41,0.0,1.75,2.13,1.78,2.17,1.8,2.13,1.74,2.01,2.45,3.0,3.2,2.53,3.04,3.3,2.49,3.1,3.25,2.43,3.0,3.18,2.63,1.5,2.55,1.56,2.63,1.55,2.49,1.51,-0.25,2.1,1.78,2.13,1.81,2.1,1.78,1.96,1.74
SP1,2025-08-17,Celta,Getafe,0,2,A,0,0,D,1.73,3.5,5.25,1.76,3.43,5.71,1.75,3.65,5.66,1.71,3.48,5.25,2.38,1.57,2.5,1.57,2.4,1.58,2.36,1.54,-0.75,1.98,1.88,2.01,1.9,1.98,1.9,1.89,1.8,1.67,3.5,5.75,1.61,3.73,7.04,1.7,3.55,6.0,1.67,3.48,5.81,2.63,1.5,2.49,1.58,2.63,1.55,2.49,1.51,-0.75,1.93,1.93,1.81,2.15,1.93,1.95,1.85,1.84
SP1,2025-08-17,Ath Bilbao,Sevilla,3,2,H,2,0,H,1.57,3.9,6.0,1.6,4.05,6.12,1.6,4.2,6.75,1.55,3.91,6.17,2.1,1.73,2.11,1.78,2.1,1.74,2.07,1.71,-1.0,2.05,1.8,2.08,1.84,2.05,1.85,1.91,1.8,1.53,3.8,6.5,1.67,3.69,6.24,1.59,3.9,6.6,1.56,3.8,6.43,2.2,1.67,2.31,1.67,2.25,1.67,2.2,1.64,-1.0,2.0,1.85,2.25,1.72,2.04,1.85,1.96,1.76
SP1,2025-08-17,Espanol,Ath Madrid,2,1,H,0,1,A,6.0,3.9,1.57,6.57,3.86,1.6,6.66,4.0,1.6,6.25,3.86,1.55,2.2,1.67,2.28,1.68,2.2,1.72,2.14,1.66,1.0,1.8,2.05,1.83,2.1,1.8,2.05,1.77,1.94,5.5,3.9,1.62,5.8,3.89,1.66,6.2,4.0,1.65,5.7,3.86,1.6,2.0,1.85,1.97,1.93,2.0,1.89,1.94,1.82,1.0,1.73,2.08,1.76,2.17,1.83,2.09,1.73,2.0
SP1,2025-08-18,Elche,Betis,1,1,D,0,1,A,3.4,3.3,2.2,3.45,3.43,2.21,3.4,3.4,2.2,3.33,3.27,2.17,2.2,1.67,2.21,1.72,2.2,1.76,2.08,1.7,0.25,1.98,1.88,2.0,1.91,1.98,1.88,1.88,1.76,3.2,3.25,2.3,3.34,3.22,2.4,3.25,3.25,2.36,3.2,3.19,2.3,2.2,1.67,2.3,1.68,2.25,1.73,2.16,1.66,0.25,1.88,1.98,1.88,2.04,1.88,2.0,1.81,1.84
SP1,2025-08-19,Real Madrid,Osasuna,1,0,H,0,0,D,1.22,6.25,13.0,1.23,6.99,12.34,1.23,7.0,15.0,1.2,6.66,13.16,1.5,2.63,1.52,2.6,1.52,2.63,1.49,2.56,-2.0,2.03,1.78,2.14,1.76,2.05,1.81,1.97,1.75,1.22,7.0,11.0,1.22,7.32,12.82,1.24,7.0,13.0,1.21,6.67,12.34,1.44,2.75,1.47,2.73,1.46,2.8,1.44,2.68,-2.0,2.03,1.78,2.07,1.85,2.07,1.83,1.97,1.75
